mood_label,mood_matrix,mood_vector,tweet_text
302,"[[[0.07142857 0.07628571 0.36842857 0.24957143]
  [0.21248196 0.58407143 0.36114286 0.461     ]
  [0.02886003 0.16057143 0.10914286 0.09342857]
  [0.19047619 0.39321429 0.37121429 0.3625    ]
  [0.11724387 0.49864286 0.2865     0.36728571]
  [0.10714286 0.11142857 0.20614286 0.22885714]
  [0.04184704 0.23471429 0.13935714 0.20514286]
  [0.23051948 0.54219048 0.3715119  0.5177619 ]]]","[0.07142857 0.07628571 0.36842857 0.24957143 0.21248196 0.58407143
 0.36114286 0.461      0.02886003 0.16057143 0.10914286 0.09342857
 0.19047619 0.39321429 0.37121429 0.3625     0.11724387 0.49864286
 0.2865     0.36728571 0.10714286 0.11142857 0.20614286 0.22885714
 0.04184704 0.23471429 0.13935714 0.20514286 0.23051948 0.54219048
 0.3715119  0.5177619 ]",jon tester say one thing voter exact opposit washington tester take order form pelosi amp schumer tester want rais tax take away 2a open border deliv mob rule retir tester amp elect america first patriot matt rosendalwatch democrat parti led want open border exist weak law assault countri guatemala hondura el salvador whose leader littl stop larg flow peopl includ mani crimin enter mexico uafternoon great honor present sergeant major john canley medal honor east roomrt live white hous sgt maj john canley becom 300th marin receiv medal honorted cruz done much texa includ massiv cut tax regul brought texa best job number histori state watch care 2nd amend rourk would blow ted long strong endorswatch debat last night amp beto rourk want higher tax far regul leagu ted cruz amp great peopl texa stand amp want ted strong crime border amp 2nd love militari vet low tax beto flaketoday inform countri hondura guatemala el salvador allow citizen other journey border unit state intent enter countri illeg payment made stop end
310,"[[[0.06818182 0.01572727 0.07359091 0.04936364]
  [0.06818182 0.05490909 0.04618182 0.04427273]
  [0.         0.         0.         0.        ]
  [0.02272727 0.02413636 0.01572727 0.01922727]
  [0.06818182 0.10463636 0.04022727 0.09386364]
  [0.         0.         0.         0.        ]
  [0.02272727 0.02909091 0.03254545 0.04081818]
  [0.20454545 0.21736364 0.1405     0.23627273]]]","[0.06818182 0.01572727 0.07359091 0.04936364 0.06818182 0.05490909
 0.04618182 0.04427273 0.         0.         0.         0.
 0.02272727 0.02413636 0.01572727 0.01922727 0.06818182 0.10463636
 0.04022727 0.09386364 0.         0.         0.         0.
 0.02272727 0.02909091 0.03254545 0.04081818 0.20454545 0.21736364
 0.1405     0.23627273]",incred number 7036000 job open astonish work stock market big tremend potenti usa also strong profit number one world farrecord financi interest saudi arabia russia matter suggest fake news plenti8x new manufactur job obamaop ed prais trump administr effort border washington examin state final govern taken step stop releas unaccompani minor crimin traffick done obama administrthank cheroke nation reveal elizabeth warren sometim refer pocahonta complet total fraudrt thank law enforc first respond state local feder offici help recoveri effrt first respond job done incred presid said tour damag huarriv florida also think great alabama farmer mani friend north south carolina todayway florida georgiaspoke king saudi arabia deni knowledg whatev may happen saudi arabian citizen said work close turkey find answer immedi send secretari state meet kingthank nbc correctthankrtthank kentucki magaway richmond kentucki make america great ralli 7 00pme crowd massiv see everyon coupl hour magawelcom home pastor andrew brunsonbeauti make america great ralli lebanon ohio thank icymi watchrthappi nationalfarmersday recent usmca great farmer better everpeopl idea hard hurrican michael hit great state georgia visit florida georgia earli next week work hard everi area everi state hitpromis made promis keptpastor brunson releas home soon
311,"[[[0.17009657 0.39302381 0.56195238 0.57109524]
  [0.17611278 0.70832143 0.45078571 0.63439286]
  [0.03296703 0.08014286 0.1675     0.12292857]
  [0.07770008 0.27       0.39407143 0.40635714]
  [0.13049173 0.63592857 0.44542857 0.58992857]
  [0.098335   0.23888095 0.40680952 0.38116667]
  [0.11550672 0.4922381  0.45228571 0.53219048]
  [0.1987901  0.65392857 0.45995238 0.70071429]]]","[0.17009657 0.39302381 0.56195238 0.57109524 0.17611278 0.70832143
 0.45078571 0.63439286 0.03296703 0.08014286 0.1675     0.12292857
 0.07770008 0.27       0.39407143 0.40635714 0.13049173 0.63592857
 0.44542857 0.58992857 0.098335   0.23888095 0.40680952 0.38116667
 0.11550672 0.4922381  0.45228571 0.53219048 0.1987901  0.65392857
 0.45995238 0.70071429]",feder judg throw stormi danial lawsuit versu trump trump entitl full legal fee great go horsefac 3rd rate lawyer great state texa confirm letter sign know noth total conunit state strongli inform presid hondura larg caravan peopl head u stop brought back hondura money aid given hondura effect immedicrowd ralli far bigger ever includ 2016 elect never empti seat larg venu mani thousand peopl watch screen outsid enthusiasm amp spirit roof someth big happen watchnbc news total purpos chang point mean stori gener robert e lee gener ulyss grant actual shoutout warrior grant great state born usual dishonest report even mainstream media embarrasshead great state kentucki big ralli congressman andi barr fantast guy need vote maga strong crime tax cut militari vet amp 2nd oppon never vote us pelosi andi strongest endors see kentuckihighli respect congressman keith rothfu r pennsylvania fight life dem chang district map must win strong crime border big tax amp reg cut militari amp vet oppon lamb pelosi puppet weak crime big endors keithregist vote
312,"[[[0.09506975 0.09104762 0.28745238 0.19328571]
  [0.25461245 0.65810317 0.4855873  0.52521429]
  [0.03465608 0.03366667 0.1247619  0.06028571]
  [0.05816498 0.07655556 0.20311111 0.14327778]
  [0.21865595 0.62521429 0.41913492 0.49512698]
  [0.07946128 0.09116667 0.22671429 0.16802381]
  [0.05120937 0.19009524 0.15585714 0.14371429]
  [0.20817014 0.54989286 0.37409524 0.46721429]]]","[0.09506975 0.09104762 0.28745238 0.19328571 0.25461245 0.65810317
 0.4855873  0.52521429 0.03465608 0.03366667 0.1247619  0.06028571
 0.05816498 0.07655556 0.20311111 0.14327778 0.21865595 0.62521429
 0.41913492 0.49512698 0.07946128 0.09116667 0.22671429 0.16802381
 0.05120937 0.19009524 0.15585714 0.14371429 0.20817014 0.54989286
 0.37409524 0.46721429]",realli possibl bruce ohr whose wife nelli paid simpson gp fusion work done fake dossier use pawn whole scam witch hunt still work depart justic realliconflict glen simpson testimoni anoth hous panel contact justic depart offici bruce ohr ohr use simpson steel back channel get fake dossier fbi simpson plead fifth catherin herridg jeff sessionclaim indian heritag turn scam lie elizabeth warren apolog perpetr fraud american public harvard call person color amaz con would taken otherwispocahonta bad version sometim refer elizabeth warren get slam took bogu dna test show may 1 1024 far less averag american cheroke nation deni dna test useless even want phonitogeth prevailopen enrol start today lower price medicar advantag plan love great senior crazi berni band congression dem outlaw plan disastleav florida georgia first ladi tour hurrican damag visit fema first respond law enforc maximum effort take place everyon work hard worst hit 50 yearway shut democrat new mob rule strategi stop cold ballot box fight america futur never ben shapirort interview 60 minut tonight 7 00 p nfl game enjoyinterview 60 minut tonight 7 00 p nfl game enjoyinterview tonight 7 30 p eastern enjoyprincess eugeni york truli beauti bride yesterday much come total winnercongratul tucker carlson great success book ship fool went number onebig day pastor andrew brunson could spent 35 year turkish prison return safe home famili today met oval offic great peopl kentucki ralli congressman andi barr tremend crowd amp spirit return white housturkish prison white hous 24 hour kristin fisher cooldeal made turkey releas return pastor andrew brunson make deal hostag howev great appreci behalf unit state lead good perhap great relat unit state amp turkeypastor andrew brunson releas turkey oval offic 2 30 p afternoon wonder see meet great christian tough experi would like thank presid erdogan helphappi 243rd birthday great 243navybdayrt miss great melania tonight 10pme enjoygreat footbal lacross player jim brown outsid west wing also tremend man mentor mani young peoplmiss great melania tonight 10pme enjoy
320,"[[[0.10313853 0.07109091 0.23868182 0.14777273]
  [0.19541847 0.36084091 0.32965909 0.36109091]
  [0.03459596 0.04577273 0.09531818 0.06677273]
  [0.07997835 0.07013636 0.24086364 0.1535    ]
  [0.19733045 0.50329545 0.22551515 0.41188636]
  [0.04772727 0.03122727 0.06702273 0.03604545]
  [0.0588925  0.18681818 0.10927273 0.15377273]
  [0.28291847 0.51147348 0.24324621 0.44423106]]]","[0.10313853 0.07109091 0.23868182 0.14777273 0.19541847 0.36084091
 0.32965909 0.36109091 0.03459596 0.04577273 0.09531818 0.06677273
 0.07997835 0.07013636 0.24086364 0.1535     0.19733045 0.50329545
 0.22551515 0.41188636 0.04772727 0.03122727 0.06702273 0.03604545
 0.0588925  0.18681818 0.10927273 0.15377273 0.28291847 0.51147348
 0.24324621 0.44423106]",thought prayer pastor brunson hope safe back home soonwork hard pastor brunsonrt extrem import keep shelter safe place stay awar michael continu move inlanddepart eri pennsylvania cannot disappoint thousand peopl thousand go look forward see everyon evenrt democrat want outlaw privat health care plan take away freedom choos plan let anyort hurricanemichael stay safe florida floridafirst flngalwaystherdespit mani posit event victori media reseach center report 92 stori donald trump neg abc cb abc fake news worri fail new york time even put brett kavanaugh victori front page yesterday a17rt surg destruct life threaten storm surg event occur along portion florida panhandl big bend naturrt due hurricanemichael flight area could delay possibl cancel pleas continu check staturt atlant hurrican michael addit life threaten storm surg wind impact heavi rainfal expect acrossrt atlant hurrican forc wind expect extend well inland portion florida panhandl portion southeastwalker stapleton run highli respect republican candid governor great state colorado credenti talent impecc complet total endorsrt evacu zone urg leav right risk life live love onert flood hurrican michael affect sever state finish prepar asap get readi shelter safe locatrt congratul 114th suprem court justic brett kavanaugh scotuflorida imper heed direct state local offici pleas prepar care safe hurricanemichaellook cat 3 even intens florenc good news folk pan handl take care anyth first respond readi prepar hurricanemichaelhurrican way florida pan handl major element arriv tomorrow could also hit later stage part georgia unfortun north carolina south carolinabig announc friend ambassador nikki haley oval offic 10 30amgreat even last night white hous honor justic kavanaugh famili countri proudpaid c protest readi realli protest gotten check word paid screamer congress outsid far obviou less profession anticip pay pay billrt told evacu hurrican michael delay leav soon possibl listen local offici
321,"[[[0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.11111111 0.07111111 0.07955556 0.09977778]
  [0.22222222 0.1345     0.11188889 0.16772222]]]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.11111111 0.07111111 0.07955556 0.09977778 0.22222222 0.1345
 0.11188889 0.16772222]",rt seriou commun issu panhandl hurricanemichael worri someon visit httprt presid trump provid updat respons hurrican michaelflorida highway patrol trooper en rout panhandl across state florida help affect hurricanemichael see sure shake hand say thank lesmthank first respond hurricanemichaelthank jacksonvil sheriff offic hurricanemichaelmassiv overflow crowd tonight eri pennsylvania thank everyon came join us togeth make america greatrt live updat vehicl personnel stage readi prt earlier today presid join homeland secur listen brock brief reportlet great peopl line sinc last night see soon pennsylvaniafloridart hurrican shelter locat access hurricanemichaelrt atlant nhc director ken graham provid facebook live broadcast regard categori 4 hurrican michael 8 45 edtrt thank egyptrt thank kenyapresid donald j trump approv florida emerg declarrtgo iowa tonight ralli farmer happi usmcart 8am intermedi advisori atlant upgrad hurricanemichael categori 2 hurrican keep mind wind
322,"[[[0.10178571 0.3245     0.3647     0.38125   ]
  [0.15952381 0.5284     0.5081     0.5857    ]
  [0.01666667 0.0449     0.0444     0.0857    ]
  [0.08095238 0.1431     0.2736     0.2552    ]
  [0.15035714 0.58355    0.3917     0.5309    ]
  [0.09916667 0.3223     0.3207     0.3616    ]
  [0.13607143 0.45315    0.4717     0.5396    ]
  [0.25547619 0.61665    0.4888     0.68511667]]]","[0.10178571 0.3245     0.3647     0.38125    0.15952381 0.5284
 0.5081     0.5857     0.01666667 0.0449     0.0444     0.0857
 0.08095238 0.1431     0.2736     0.2552     0.15035714 0.58355
 0.3917     0.5309     0.09916667 0.3223     0.3207     0.3616
 0.13607143 0.45315    0.4717     0.5396     0.25547619 0.61665
 0.4888     0.68511667]",nice everyon want ivanka trump new unit nation ambassador would incred alreadi hear chant nepot great peopl want jobrt moment ago presid trump sign music modern act close loophol digit royalti lawthank eri pennsylvania rememb get vote magart friend missouri today last chanc regist vote novemb easi simpli gort atlant storm surg warn remain effect much florida panhandl big bend region life threaten stort hurrican michael near land take shelter amp stay safe follow weather updat phone radio tornado warnthank iowa amp nebraska vote vote votebeauti even iowa god bless u magarelentless secur fund fix alga problem lake okeechobe solv congress must follow govern plan everglad reservoir bill nelson helpregist vote
330,"[[[0.11496599 0.16164286 0.31314286 0.27160714]
  [0.25048959 0.52907143 0.39626191 0.47671429]
  [0.03401361 0.04464286 0.12185714 0.08514286]
  [0.10017007 0.13075    0.27071429 0.21760714]
  [0.12358792 0.58489286 0.34475    0.43135714]
  [0.07040816 0.06710714 0.16414286 0.11117857]
  [0.08588951 0.40260714 0.27103571 0.31303571]
  [0.22047516 0.55242857 0.37275    0.56103571]]]","[0.11496599 0.16164286 0.31314286 0.27160714 0.25048959 0.52907143
 0.39626191 0.47671429 0.03401361 0.04464286 0.12185714 0.08514286
 0.10017007 0.13075    0.27071429 0.21760714 0.12358792 0.58489286
 0.34475    0.43135714 0.07040816 0.06710714 0.16414286 0.11117857
 0.08588951 0.40260714 0.27103571 0.31303571 0.22047516 0.55242857
 0.37275    0.56103571]",everi day polic offic race darken alli desert street amp onto doorstep harden crimin see worst human amp respond best american spirit america leo earn everlast gratitud nationchristoph columbu spirit determin amp adventur provid inspir gener american columbusday honor remark accomplish navig amp celebr voyag unknown expans atlant oceangood meet chairman kim today pyongyang progress made singapor summit agreement look forward see chairman kim near futurcrowd front u suprem court tini look like 200 peopl amp onlook even fill first coupl row kansa ralli ralli matter fake news media tri make look sooo big ampapplaud congratul u senat confirm great nomine judg brett kavanaugh unit state suprem court later today sign commiss appoint offici sworn excitrude elev screamer paid profession look make senat look bad fall also look profession made ident sign paid soro other sign made basement love troublemakrt whether love hate trump ascend presid centuri miracl liter7th time fbi investig judg kavanaugh made 100 would still good enough obstructionist democratwow enthusiasm energi judg brett kavanaugh look energi look poll someth big happen fine man great intellect countri waythought prayer florenc counti sheriff offic florenc polic depart tonight south carolina forev grate law enforc offic 24 7 365thank congressman tom reed new york wonder comment great new trade deal mexico canada usmca long ago given full endors good reason keep great workstock market reach time high administr 102nd time presidenti record far less two year much potenti trade militari deal completcongressman texa true fighter patriot highli respect c alway get district countri want need strong crime border militari vet 2nd amend pete full total endors great guyrt remind tomorrow 10 3 2 18 pm edt nationwid test wireless emerg alert system coordinatio
331,"[[[0.008      0.00692    0.01888    0.0076    ]
  [0.09333333 0.09452    0.09008    0.08808   ]
  [0.008      0.00692    0.01888    0.0076    ]
  [0.008      0.005      0.02352    0.00768   ]
  [0.2        0.19632    0.09964    0.12588   ]
  [0.10133333 0.04543    0.06995    0.04916   ]
  [0.02       0.0256     0.02864    0.03592   ]
  [0.32133333 0.26454    0.19336    0.29378   ]]]","[0.008      0.00692    0.01888    0.0076     0.09333333 0.09452
 0.09008    0.08808    0.008      0.00692    0.01888    0.0076
 0.008      0.005      0.02352    0.00768    0.2        0.19632
 0.09964    0.12588    0.10133333 0.04543    0.06995    0.04916
 0.02       0.0256     0.02864    0.03592    0.32133333 0.26454
 0.19336    0.29378   ]",great see launch cut edg statewid school safeti app florida today name parkland survivor big prioriti florida get done fortifyflthank salut honor promis alway back forev iacp2018great honor address intern associ chief polic annual convent orlando florida thank iacp2018 lesmdepart washington c intern associ chief polic annual convent orlando florida look forward see everyon soon iacp2018rt thank kenyathank kansa lovert thank minnesota lovert thank malawirt thank ghana3 7 unemploy lowest number sinc 1969rt presidenti advis daughter make 3 stop nc see hurrican relief effort thank first resport happen 2 08ame great melania trump visit kenyan eleph orphanagthank minnesota lovemade second stop minnesota make america great ralli need elect u senat need strong leadership u houscongressman bishop great job help pass tax reform lower tax everyon nanci pelosi spend hundr thousand dollar oppon support liber agenda higher tax wast spendu stock widen global leadstatement nation strategi counterterrorwork hard thankimport time countri due process fair common sens trialcountri great first ladi melania realli well africa peopl love love beauti thing seeharsh unfair treatment judg brett kavanaugh incred upward impact voter peopl get far better politician importantli great life cannot ruin mean amp despic democrat total uncorrobor allegspoke presid elect andr manuel lopez obrador mexico great call work well togethmexico canada unit state great partnership formid trade forc usmca work well togeth great spiritblowout number new job separ servic marketthank governor phil bryant great honor maga
332,"[[[0.13657242 0.49641667 0.56181061 0.58712121]
  [0.15960477 0.67319697 0.46434849 0.63710606]
  [0.02905183 0.07163636 0.17415152 0.10281818]
  [0.06819325 0.14158636 0.27164545 0.18621364]
  [0.15490359 0.70304545 0.48509091 0.63659091]
  [0.13471561 0.46575    0.55486364 0.56488636]
  [0.13560345 0.64872727 0.48578788 0.62127273]
  [0.18135508 0.66358788 0.48542727 0.63145455]]]","[0.13657242 0.49641667 0.56181061 0.58712121 0.15960477 0.67319697
 0.46434849 0.63710606 0.02905183 0.07163636 0.17415152 0.10281818
 0.06819325 0.14158636 0.27164545 0.18621364 0.15490359 0.70304545
 0.48509091 0.63659091 0.13471561 0.46575    0.55486364 0.56488636
 0.13560345 0.64872727 0.48578788 0.62127273 0.18135508 0.66358788
 0.48542727 0.63145455]",america polic offic earn everlast gratitud nation moment danger amp despair reason never lose hope men amp women uniform face evil amp stand good decent right iacp2018hand match arsonist give power angri left wing mob democrat becom extrem danger govern republican believ rule law rule mob vote republicanbeauti even topeka kansa vote vote vote magaask steve dain great republican senat montana attend daughter anni wed rather come today vote steve readi whatev necessari number dain famili congratul wonder daywomen kavanaugh mani other support good man gather capitol hill prepar 3 5 p vote beauti thing see paid profession protest hand expens sign big day americawomen kavanaugh mani other support good man gather capit hill prepar 3 5 p vote beauti thing see paid profession protest hand expens sign big day americaproud u senat vote ye advanc nomin judg brett kavanaughbeauti even rochest minnesota vote vote votert arm power vote proudli amp peac revoltednev doubt american revolut magasee time go ralli order help great republican candid voter realli angri viciou despic way democrat treat brett kavanaugh wonder famili deserv much betterfail new york time someth never seen done use concept time valu money old bore often told hit piec ad mean 97 stori bad never recov bad elect call
340,"[[[0.02222222 0.0222     0.032      0.03746667]
  [0.08833333 0.09301667 0.05215    0.07455   ]
  [0.         0.         0.         0.        ]
  [0.00833333 0.0177     0.01153333 0.0141    ]
  [0.11333333 0.12498333 0.05861667 0.0819    ]
  [0.02222222 0.00945    0.01276667 0.00631667]
  [0.16111111 0.14933333 0.16706667 0.20953333]
  [0.35111111 0.33622333 0.2329     0.37009667]]]","[0.02222222 0.0222     0.032      0.03746667 0.08833333 0.09301667
 0.05215    0.07455    0.         0.         0.         0.
 0.00833333 0.0177     0.01153333 0.0141     0.11333333 0.12498333
 0.05861667 0.0819     0.02222222 0.00945    0.01276667 0.00631667
 0.16111111 0.14933333 0.16706667 0.20953333 0.35111111 0.33622333
 0.2329     0.37009667]",thank mississippi togeth make america greatthank mississippi lovert america alway nation great builder america honor work honor grit honor craftsmanshiusmca win prais victori american industri workergreat review new usmca thank mexico canada wonder partner trade long futurwow thank tennessethank tennesse lovenews confer usmca morn 11 00 rose garden white houscongratul mexico canadadefici mistak nafta greatli open market farmer manufactur reduc trade barrier u bring three great nation togeth competit rest world usmca histor transactdefici mistak nafta greatli open market farmer manufactur reduc trade barrier u bring three great nation closer togeth competit rest world usmca histor transactlike mani watch saturday night live even though past host longer funni talent charm polit ad dem word kany west put maga hat show despit told great lead chargnbc news incorrectli report usual limit fbi investig judg kavanaugh wit certain peopl actual want interview whoever deem appropri discret pleas correct reportthank west virginia lovehead west virginia big ralli live tonight long line greatjoin saturday wheel west virginia 7pme ticketrt presid trump prime minist theresa may met bilater meet new yorkrt afternoon presid trump particip bilater meet prime minist abert earlier today presid trump particip bilater meet prime minist israelrt speech unga requir view american high school beauti articulrt presid trump unit nation speech today remark outlin power patriot import natiochina actual place propaganda ad de moin regist paper made look like news beat trade open market farmer make fortunjobless claim fell lowest level 49 yearlaw enforc peopl took law hand came presid trump73rd session unit nation gener assembl ungaremark presid trump luncheon host secretari gener unit nationremark presid trump 73rd session unit nation gener assemblthank dr jeffressthank markspeak unit nation morn countri much stronger much richer took offic less two year ago also much safer
341,"[[[0.14484127 0.48656667 0.56178333 0.62996667]
  [0.13492063 0.6635     0.52861111 0.63222222]
  [0.06746032 0.27       0.38588889 0.35461111]
  [0.11309524 0.40025    0.51775    0.52286111]
  [0.13095238 0.768      0.51527778 0.67472222]
  [0.12103175 0.34552778 0.44363889 0.43877778]
  [0.13492063 0.6635     0.52861111 0.63222222]
  [0.15277778 0.73132222 0.51558889 0.67691667]]]","[0.14484127 0.48656667 0.56178333 0.62996667 0.13492063 0.6635
 0.52861111 0.63222222 0.06746032 0.27       0.38588889 0.35461111
 0.11309524 0.40025    0.51775    0.52286111 0.13095238 0.768
 0.51527778 0.67472222 0.12103175 0.34552778 0.44363889 0.43877778
 0.13492063 0.6635     0.52861111 0.63222222 0.15277778 0.73132222
 0.51558889 0.67691667]",yesterday great honor present medal honor ronald j shurer ii action april 6 2008 brave enemi fire treat multipl injur soldier readreason vote democrat tire winafrican american unemploy lowest number histori median incom highest add thing done democrat done noth african american talk win black vote get bettersenat richard blumenth must talk fraudul servic vietnam 12 year told peopl connecticut attorney gener great marin war hero talk mani battl near death never vietnam total phonijudg kavanaugh show america exactli nomin testimoni power honest rivet democrat search destroy strategi disgrac process total sham effort delay obstruct resist senat must voteavenatti third rate lawyer good make fals accus like like judg brett kavanaugh look attent want peopl look past record relationship total low life
342,"[[[0.04761905 0.06239286 0.16321429 0.12971429]
  [0.25819676 0.69544643 0.45532143 0.58853571]
  [0.00595238 0.01457143 0.03642857 0.01157143]
  [0.07468821 0.2697381  0.22852381 0.29340476]
  [0.22942692 0.72417857 0.49085714 0.57982143]
  [0.03452381 0.05664286 0.104      0.08707143]
  [0.13015873 0.38132143 0.28310714 0.29571429]
  [0.21943414 0.49253946 0.28349048 0.46931803]]]","[0.04761905 0.06239286 0.16321429 0.12971429 0.25819676 0.69544643
 0.45532143 0.58853571 0.00595238 0.01457143 0.03642857 0.01157143
 0.07468821 0.2697381  0.22852381 0.29340476 0.22942692 0.72417857
 0.49085714 0.57982143 0.03452381 0.05664286 0.104      0.08707143
 0.13015873 0.38132143 0.28310714 0.29571429 0.21943414 0.49253946
 0.28349048 0.46931803]",today administr provid histor level fund improv school safeti stop school violenc grant top prioriti commit keep children safe schoolnation wage growth highest nearli 17 month accord new studi releas glassdoor expect slow anytim soongod bless u magarealli incred time nation respectproud great first ladi lovehappi 7th birthday tristan special member trump famililate last night deadlin reach wonder new trade deal canada ad deal alreadi reach mexico new name unit state mexico canada agreement usmca great deal three countri solv maniwow start hear democrat think obstruct delay start put word time scope fbi look judg kavanaugh wit enough hello never enough stay tune watchstart tonight 7th fbi investig judg brett kavanaugh someday recogn truli great justic unit state suprem courtcongressman lee zeldin fantast job c tough smart love countri alway right thing complet total endorsconsum confid hit 18 year high close break time record big jump last 8 year peopl excit usa get bigger richer stronger way godemocrat play high level con game viciou effort destroy fine person call polit destruct behind scene dem laugh pray brett kavanaugh familiconsum confid rose septemb notch highest level 18 year consum board index rose 138 4 month 134 7 augustrush limbaugh republican kiss midterm goodby get highli qualifi kavanaugh approv
350,"[[[0.         0.         0.         0.        ]
  [0.09895833 0.09128125 0.05490625 0.0813125 ]
  [0.         0.         0.         0.        ]
  [0.015625   0.01334375 0.00859375 0.01378125]
  [0.0625     0.0625     0.0324375  0.0420625 ]
  [0.015625   0.01334375 0.00859375 0.01378125]
  [0.140625   0.1        0.111875   0.1403125 ]
  [0.29166667 0.25084896 0.15998958 0.25105729]]]","[0.         0.         0.         0.         0.09895833 0.09128125
 0.05490625 0.0813125  0.         0.         0.         0.
 0.015625   0.01334375 0.00859375 0.01378125 0.0625     0.0625
 0.0324375  0.0420625  0.015625   0.01334375 0.00859375 0.01378125
 0.140625   0.1        0.111875   0.1403125  0.29166667 0.25084896
 0.15998958 0.25105729]",rememb midtermgreat honor welcom presid franc unit state new york citi even ungart brett kavanaugh wife ashley interview tonight 7pmegreat honor welcom presid egypt unit state afternoon new york citi great meet ungajoint statement unit state korea free trade agreementus korea free trade agreement sign ceremonigreat honor welcom meet presid jae south korea today new york citi ungart time put safeti first everyth els evacu shelter need take pet lprime minster come trump tower dinner importantli great landslid victori japan congratul behalf american peoplgo new york prime minist abe japan tonight talk militari trade done much help japan would like see reciproc relationship worktiger play great look like big win could happen excitnew econom record set daili basi accidrt presid absolut pack hous jqh arena springfield mo trumpral redwavrt stand valu trump said close ralli springfield missouri stand nart stock market 55 401 k 50 60 70 casethank missouri togeth make america greatthank missouri loveremark presid trump sign h r 5895rt view line outsid la vega convent center wait get maga ralli photo sentrt amaz trump ralli la vega nevada must 10000 peopl trust say wrt outsid trump ralli la vega thousand conserv line extend way arourt energi excit presid americafirst agenda roof magart great job tonight presid la vega lay strong america becom econompromis kept great veteranmet doj concern declassif variou unredact document agre releas state may perceiv neg impact russia probe also key alli call ask releas therefor inspector generrtrtchair unit nation secur council meet iran next weekamerica winthank la vega nevada love magamake america greatland la vega make america great ralli support also interview live big crowd long line great maga
351,"[[[0.21130952 0.2475     0.423375   0.405875  ]
  [0.16269841 0.34545833 0.28570833 0.38108333]
  [0.03968254 0.06041667 0.08991667 0.07883333]
  [0.28224206 0.38290278 0.59063889 0.58769444]
  [0.10714286 0.295125   0.15579167 0.23825   ]
  [0.05009921 0.0315     0.15258333 0.089     ]
  [0.06944444 0.19483333 0.13941667 0.19558333]
  [0.07738095 0.26654167 0.129875   0.24441667]]]","[0.21130952 0.2475     0.423375   0.405875   0.16269841 0.34545833
 0.28570833 0.38108333 0.03968254 0.06041667 0.08991667 0.07883333
 0.28224206 0.38290278 0.59063889 0.58769444 0.10714286 0.295125
 0.15579167 0.23825    0.05009921 0.0315     0.15258333 0.089
 0.06944444 0.19483333 0.13941667 0.19558333 0.07738095 0.26654167
 0.129875   0.24441667]",despit request plan meet iranian presid hassan rouhani mayb someday futur sure absolut love manrepublican parti favor highest 7 year 3 point higher democrat gallupdemocrat work hard destroy wonder man man potenti one greatest suprem court justic ever array fals accus like never seendemocrat work hard destroy wonder man man potenti one greatest suprem court justic ever array fals acquisit like never seentoday commit fight drug epidem togeth ungaremark presid trump global call action world drug problem event ungagod bless urt fight everi day factori rancher great miner farmer largest produc ethroughout american histori men women arm forc selflessli serv countri make tremend sacrific defend liberti nation pow mia recognit day honor american prison warask review document expedit basi believ move quickli hope thing look end alway declassifi prove necessari speed import everyonradic left lawyer want fbi get involv someon call fbi 36 year agojudg brett kavanaugh fine man impecc reput assault radic left wing politician want know answer want destroy delay fact matter go everi singl day c
352,"[[[0.14435796 0.29808333 0.4905     0.39466667]
  [0.13616707 0.70333333 0.54316667 0.59866667]
  [0.07069088 0.1945     0.44283333 0.28516667]
  [0.15651709 0.35316667 0.57722222 0.41305556]
  [0.11764856 0.7605     0.6185     0.6605    ]
  [0.10202992 0.25561111 0.39438889 0.29533333]
  [0.17096561 0.50622222 0.57455555 0.54005556]
  [0.10162291 0.55194444 0.46383333 0.52955555]]]","[0.14435796 0.29808333 0.4905     0.39466667 0.13616707 0.70333333
 0.54316667 0.59866667 0.07069088 0.1945     0.44283333 0.28516667
 0.15651709 0.35316667 0.57722222 0.41305556 0.11764856 0.7605
 0.6185     0.6605     0.10202992 0.25561111 0.39438889 0.29533333
 0.17096561 0.50622222 0.57455555 0.54005556 0.10162291 0.55194444
 0.46383333 0.52955555]",brett kavanaugh wife ashley interview tonight 7pme outstand famili must treat fairlirt 2nd night row trump ralli tonit springfield last nite la vega crowd spontan break cheerrt crowd roar take stage say thrill back ne vah da saysenat feinstein democrat held letter month releas bang hear done purpos obstruct amp resist amp delay let testifi take votesenat feinstein democrat held letter month releas bang hear done purpos obstruct amp resist amp delay let testifi take votedoubt attack dr ford bad say charg would immedi file local law enforc author either love parent ask bring file forward learn date time place
